Deque A
clock: 0	program id:   1 	execution time:   3 	time left:   3 	priority:  12 	wait time: 0
clock: 2	program id:  13 	execution time:   2 	time left:   2 	priority:   2 	wait time: 2
clock: 4	program id:   1 	execution time:   3 	time left:   1 	priority:  12 	wait time: 4
clock: 5	program id:  17 	execution time:   3 	time left:   3 	priority:  13 	wait time: 5
clock: 7	program id:  19 	execution time:   2 	time left:   2 	priority:   4 	wait time: 7
clock: 9	program id:  17 	execution time:   3 	time left:   1 	priority:  13 	wait time: 9
clock: 10	program id:  28 	execution time:   4 	time left:   4 	priority:   8 	wait time: 10
clock: 12	program id:  33 	execution time:   4 	time left:   4 	priority:  11 	wait time: 12
clock: 14	program id:  28 	execution time:   4 	time left:   2 	priority:   8 	wait time: 14
clock: 16	program id:  33 	execution time:   4 	time left:   2 	priority:  11 	wait time: 16
clock: 18	program id:  44 	execution time:   4 	time left:   4 	priority:   8 	wait time: 18
clock: 20	program id:  49 	execution time:   3 	time left:   3 	priority:   2 	wait time: 20
clock: 22	program id:  44 	execution time:   4 	time left:   2 	priority:   8 	wait time: 22
clock: 24	program id:  49 	execution time:   3 	time left:   1 	priority:   2 	wait time: 24
Total Wait Time: 98.0
Priority Queue B
clock: 25	program id:  40 	execution time:   4 	time left:   4 	priority:  20 	wait time: 25
clock: 27	program id:  47 	execution time:   1 	time left:   1 	priority:  20 	wait time: 27
clock: 28	program id:  40 	execution time:   4 	time left:   2 	priority:  21 	wait time: 28
clock: 30	program id:  12 	execution time:   4 	time left:   4 	priority:  21 	wait time: 30
clock: 32	program id:  32 	execution time:   3 	time left:   3 	priority:  21 	wait time: 32
clock: 34	program id:  14 	execution time:   1 	time left:   1 	priority:  21 	wait time: 34
clock: 35	program id:  11 	execution time:   4 	time left:   4 	priority:  21 	wait time: 35
clock: 37	program id:  35 	execution time:   5 	time left:   5 	priority:  22 	wait time: 37
clock: 39	program id:  11 	execution time:   4 	time left:   2 	priority:  22 	wait time: 39
clock: 41	program id:  32 	execution time:   3 	time left:   1 	priority:  22 	wait time: 41
clock: 42	program id:  23 	execution time:   2 	time left:   2 	priority:  22 	wait time: 42
clock: 44	program id:  12 	execution time:   4 	time left:   2 	priority:  22 	wait time: 44
clock: 46	program id:   7 	execution time:   3 	time left:   3 	priority:  23 	wait time: 46
clock: 48	program id:  35 	execution time:   5 	time left:   3 	priority:  23 	wait time: 48
clock: 50	program id:   7 	execution time:   3 	time left:   1 	priority:  24 	wait time: 50
clock: 51	program id:  35 	execution time:   5 	time left:   1 	priority:  24 	wait time: 51
clock: 52	program id:   5 	execution time:   3 	time left:   3 	priority:  28 	wait time: 52
clock: 54	program id:   5 	execution time:   3 	time left:   1 	priority:  29 	wait time: 54
clock: 55	program id:   9 	execution time:   4 	time left:   4 	priority:  30 	wait time: 55
clock: 57	program id:  42 	execution time:   5 	time left:   5 	priority:  30 	wait time: 57
clock: 59	program id:   9 	execution time:   4 	time left:   2 	priority:  31 	wait time: 59
clock: 61	program id:  42 	execution time:   5 	time left:   3 	priority:  31 	wait time: 61
clock: 63	program id:  27 	execution time:   3 	time left:   3 	priority:  31 	wait time: 63
clock: 65	program id:  25 	execution time:   4 	time left:   4 	priority:  31 	wait time: 65
Total Wait Time: 567.0
Queue C
clock: 67	program id:   2 	execution time:   5 	time left:   5 	priority:  40 	wait time: 67
clock: 69	program id:  10 	execution time:   3 	time left:   3 	priority:  47 	wait time: 69
clock: 71	program id:  15 	execution time:   1 	time left:   1 	priority:  43 	wait time: 71
clock: 72	program id:  16 	execution time:   5 	time left:   5 	priority:  43 	wait time: 72
clock: 74	program id:  18 	execution time:   3 	time left:   3 	priority:  43 	wait time: 74
clock: 76	program id:  20 	execution time:   5 	time left:   5 	priority:  32 	wait time: 76
clock: 78	program id:  21 	execution time:   5 	time left:   5 	priority:  32 	wait time: 78
clock: 80	program id:  22 	execution time:   1 	time left:   1 	priority:  36 	wait time: 80
clock: 81	program id:  26 	execution time:   1 	time left:   1 	priority:  47 	wait time: 81
clock: 82	program id:  29 	execution time:   5 	time left:   5 	priority:  38 	wait time: 82
clock: 84	program id:  30 	execution time:   3 	time left:   3 	priority:  41 	wait time: 84
clock: 86	program id:  31 	execution time:   5 	time left:   5 	priority:  47 	wait time: 86
clock: 88	program id:  50 	execution time:   5 	time left:   5 	priority:  37 	wait time: 88
